variant,dropped_feature,decision,validation_auc,best_validation_threshold,best_validation_precision,best_validation_recall,best_validation_f1,f1_delta_vs_all,auc_delta_vs_all
drop_bmi_category,bmi_category,keep,0.8100429859235777,0.4799999999999999,0.6802647783251231,0.8183333333333334,0.7429388029589779,0.0002779149059890518,0.00013195830561107957
drop_bp_bmi_interaction,bp_bmi_interaction,keep,0.8097722202653517,0.4699999999999999,0.6737492465340567,0.827962962962963,0.7429378531073446,0.00027696505435581553,-0.0001388073526149558
drop_age_bp_interaction,age_bp_interaction,keep,0.810070936558256,0.4499999999999999,0.6587847520779593,0.8512962962962963,0.7427694296332202,0.00010854158023143601,0.0001599089402893883
all_features,,baseline,0.8099110276179666,0.4599999999999999,0.6649582662176015,0.840925925925926,0.7426608880529888,,
drop_systolic_bp_squared,systolic_bp_squared,keep,0.8097263642649342,0.48999999999999994,0.6864286837553074,0.8083333333333333,0.7424100688834084,-0.000250819169580363,-0.00018466335303246595
drop_age_cholesterol_interaction,age_cholesterol_interaction,keep,0.8097885112128683,0.4699999999999999,0.6701968973747017,0.832037037037037,0.7423992068737607,-0.0002616811792280904,-0.0001225164050983052
drop_active_missing,active_missing,keep,0.8097191727655799,0.48999999999999994,0.6866540761724897,0.807962962962963,0.7423855708694912,-0.00027531718349760315,-0.00019185485238670807
drop_alcohol_missing,alcohol_missing,keep,0.8097191727655799,0.48999999999999994,0.6866540761724897,0.807962962962963,0.7423855708694912,-0.00027531718349760315,-0.00019185485238670807
drop_age_group,age_group,keep,0.8099224590035615,0.4799999999999999,0.680506250964655,0.8164814814814815,0.7423183769677583,-0.00034251108523053464,1.1431385594895538e-05
drop_mean_arterial_pressure,mean_arterial_pressure,keep,0.809662146295644,0.4599999999999999,0.6651019510048408,0.8396296296296296,0.7422444135221413,-0.0004164745308474771,-0.00024888132232259164
drop_pulse_pressure,pulse_pressure,keep,0.8098109336881792,0.4799999999999999,0.679329437096278,0.817962962962963,0.7422281969416905,-0.00043269111129828897,-0.00010009392978738152
drop_bp_category,bp_category,keep,0.8099269598058784,0.4599999999999999,0.6652965355255431,0.8392592592592593,0.7422207664592204,-0.00044012159376838333,1.5932187911738005e-05
drop_lifestyle_risk_score,lifestyle_risk_score,keep,0.8098528433329419,0.4799999999999999,0.6803519061583577,0.8162962962962963,0.7421500126273255,-0.0005108754256633041,-5.81842850246872e-05
