Feature,Importance
cat__bp_category,0.2570633590221405
num__systolic_bp,0.21717983484268188
num__systolic_bp_squared,0.11649373173713684
cat__age_group,0.10805369913578033
num__age_bp_interaction,0.06127499043941498
num__alcohol_missing,0.05147983878850937
num__bp_bmi_interaction,0.029681682586669922
num__active_missing,0.028064759448170662
num__cholesterol_raw,0.025995487347245216
num__age_cholesterol_interaction,0.022951317951083183
num__mean_arterial_pressure,0.016150938346982002
num__age_years,0.012482733465731144
num__active,0.008916047401726246
num__pulse_pressure,0.008486720733344555
num__glucose_raw,0.006234210915863514
num__lifestyle_risk_score,0.005843705032020807
num__alcohol,0.0057259476743638515
num__smoke,0.005181759595870972
cat__gender_bin,0.003682302311062813
num__bmi,0.003609167877584696
num__diastolic_bp,0.003327391343191266
cat__bmi_category,0.002120350953191519
